index,name,symbol,exchange
267,Blackrock Florida Muni 2020 Trust,BFO,nyse
304,Blackrock Muni 2020 Trust,BKK,nyse
305,Blackrock Investment Quality Municipal,BKN,nyse
306,Baker Hughes A Ge CO Cl A,BKR,nyse
307,Blackrock Income Trust Inc,BKT,nyse
308,BankUnited Inc,BKU,nyse
309,Topbuild Corp,BLD,nyse
310,Blackrock Muni Income Trust II,BLE,nyse
311,Blackrock,BLK,nyse
312,Ball Corp,BLL,nyse
313,Blackrock Ltd Duration Income Trust,BLW,nyse
866,Flying Eagle Acquisition Corp Cl A,FEAC,nyse
1205,Social Capital Hedosophia II Cl A,IPOB,nyse
1211,Investors Real Estate Trust,IRET,nyse
1212,Irish Investment Fund,IRL,nyse
1213,Iron Mountain Inc,IRM,nyse
1214,VOYA Risk Managed Natural Resources Fund,IRR,nyse
1215,Irsa Inversiones Y Representaciones S.A.,IRS,nyse
1216,Independence Realty Trust Inc,IRT,nyse
1217,Prudential Short Duration High,ISD,nyse
1218,Gartner Inc,IT,nyse
1219,Itau Corpbanca,ITCB,nyse
1220,Integer Holdings Corp,ITGR,nyse
2279,Trine Acquisition Corp Cl A,TRNE,nyse
2584,Edoc Acquisition Corp,ADOCU,nasdaq
3034,Bs 2020 Corp Bond Invesco ETF,BSCK,nasdaq
3048,Bs 2020 High Yield Corp Bond Invesco ETF,BSJK,nasdaq
3506,Dunkin' Brands Group,DNKN,nasdaq
3507,Denali Therapeutics Inc,DNLI,nasdaq
3508,Docusign Inc,DOCU,nasdaq
3509,Dogness Corp Cl A,DOGZ,nasdaq
3510,Domo Inc Cl B,DOMO,nasdaq
3511,Brp Inc,DOOO,nasdaq
3512,Dorman Products Inc,DORM,nasdaq
3513,Amdocs Ltd Ord,DOX,nasdaq
3514,Douyu International Holdings Ltd Ads,DOYU,nasdaq
3515,Digirad Corp,DRAD,nasdaq
3552,Destination XL Group,DXLG,nasdaq
3553,Dxp Enterprise,DXPE,nasdaq
3554,The Dixie Group,DXYN,nasdaq
3555,Dyadic International,DYAI,nasdaq
3556,Dyne Therapeutics Inc,DYN,nasdaq
3557,Dynatronics Cp,DYNT,nasdaq
3558,Dasan Zhone Solutions Inc,DZSI,nasdaq
3559,Electronic Arts Inc,EA,nasdaq
3560,Eargo Inc,EAR,nasdaq
3561,Auris Medical,EARS,nasdaq
3813,Mega Cap Alphadex Fund FT,FMK,nasdaq
3842,Francesca's Holdings,FRAN,nasdaq
3974,Gci Liberty Inc Cl A,GLIBA,nasdaq
4098,Hl Acquisitions Corp,HCCH,nasdaq
5015,Opes Acquisition Corp,OPES,nasdaq
5017,Opgen Inc,OPGN,nasdaq
5018,Optimumbank Hlds,OPHC,nasdaq
5019,Office Properties Income Trust,OPI,nasdaq
5022,Opko Health Inc,OPK,nasdaq
5023,Opiant Pharmaceuticals Inc,OPNT,nasdaq
5024,Old Point Finl Cp,OPOF,nasdaq
5025,Opera Ltd ADR,OPRA,nasdaq
5026,Oportun Financial Corp,OPRT,nasdaq
5027,Optimizerx Corp,OPRX,nasdaq
5167,1347 Property Ins,PIH,nasdaq
5222,Perceptron Inc,PRCP,nasdaq
5387,Reliv Intl Inc,RELV,nasdaq
5494,Schultze Special Acquisition Corp,SAMA,nasdaq
5946,Tenzing Acquisition Corp,TZAC,nasdaq
